Date,Open,High,Low,Close
2024-01-02,100.00,102.50,99.50,101.00
2024-01-03,101.25,103.75,100.75,102.50
2024-01-04,102.75,104.25,101.25,103.00
2024-01-05,103.25,104.75,102.25,103.50
2024-01-08,103.75,105.25,102.75,104.00
2024-01-09,104.25,105.75,103.25,104.50
2024-01-10,104.75,106.25,103.75,105.00
2024-01-11,105.25,106.75,104.25,105.50
2024-01-12,105.75,107.25,104.75,106.00
2024-01-16,106.25,107.75,105.25,106.50
2024-01-17,106.75,108.25,105.75,107.00
2024-01-18,107.25,108.75,106.25,107.50
2024-01-19,107.75,109.25,106.75,108.00
2024-01-22,108.25,109.75,107.25,108.50
2024-01-23,108.75,110.25,107.75,109.00
2024-01-24,109.25,110.75,108.25,109.50
2024-01-25,109.75,111.25,108.75,110.00
2024-01-26,110.25,111.75,109.25,110.50
2024-01-29,110.75,112.25,109.75,111.00
2024-01-30,111.25,112.75,110.25,111.50
2024-01-31,111.75,113.25,110.75,112.00
2024-02-01,112.25,113.75,111.25,112.50
2024-02-02,112.75,114.25,111.75,113.00
2024-02-05,113.25,114.75,112.25,113.50
2024-02-06,113.75,115.25,112.75,114.00
2024-02-07,114.25,115.75,113.25,114.50
2024-02-08,114.75,116.25,113.75,115.00
2024-02-09,115.25,116.75,114.25,115.50
2024-02-12,115.75,117.25,114.75,116.00
2024-02-13,115.25,116.75,114.25,115.50
2024-02-14,114.75,116.25,113.75,115.00
2024-02-15,114.25,115.75,113.25,114.50
2024-02-16,113.75,115.25,112.75,114.00
2024-02-20,113.25,114.75,112.25,113.50
2024-02-21,112.75,114.25,111.75,113.00
2024-02-22,112.25,113.75,111.25,112.50
2024-02-23,111.75,113.25,110.75,112.00
2024-02-26,111.25,112.75,110.25,111.50
2024-02-27,110.75,112.25,109.75,111.00
2024-02-28,110.25,111.75,109.25,110.50
2024-03-01,109.75,111.25,108.75,110.00
2024-03-04,109.25,110.75,108.25,109.50
2024-03-05,108.75,110.25,107.75,109.00
2024-03-06,108.25,109.75,107.25,108.50
2024-03-07,107.75,109.25,106.75,108.00
2024-03-08,107.25,108.75,106.25,107.50
2024-03-11,106.75,108.25,105.75,107.00
2024-03-12,106.25,107.75,105.25,106.50
2024-03-13,105.75,107.25,104.75,106.00
2024-03-14,105.25,106.75,104.25,105.50
2024-03-15,104.75,106.25,103.75,105.00
2024-03-18,104.25,105.75,103.25,104.50
2024-03-19,103.75,105.25,102.75,104.00
2024-03-20,103.25,104.75,102.25,103.50
2024-03-21,102.75,104.25,101.25,103.00
2024-03-22,102.25,103.75,100.75,102.50
2024-03-25,101.75,103.25,100.25,102.00
2024-03-26,101.25,102.75,99.75,101.50
2024-03-27,100.75,102.25,99.25,101.00
2024-03-28,100.25,101.75,98.75,100.50
2024-04-01,99.75,101.25,98.25,100.00
2024-04-02,99.25,100.75,97.75,99.50
2024-04-03,98.75,100.25,97.25,99.00
2024-04-04,98.25,99.75,96.75,98.50
2024-04-05,97.75,99.25,96.25,98.00
2024-04-08,97.25,98.75,95.75,97.50
2024-04-09,96.75,98.25,95.25,97.00
2024-04-10,96.25,97.75,94.75,96.50
2024-04-11,95.75,97.25,94.25,96.00
2024-04-12,95.25,96.75,93.75,95.50
2024-04-15,95.75,97.25,94.25,96.00
2024-04-16,96.25,97.75,94.75,96.50
2024-04-17,96.75,98.25,95.25,97.00
2024-04-18,97.25,98.75,95.75,97.50
2024-04-19,97.75,99.25,96.25,98.00
2024-04-22,98.25,99.75,96.75,98.50
2024-04-23,98.75,100.25,97.25,99.00
2024-04-24,99.25,100.75,97.75,99.50
2024-04-25,99.75,101.25,98.25,100.00
2024-04-26,100.25,101.75,98.75,100.50
2024-04-29,100.75,102.25,99.25,101.00
2024-04-30,101.25,102.75,99.75,101.50
2024-05-01,101.75,103.25,100.25,102.00
2024-05-02,102.25,103.75,100.75,102.50
2024-05-03,102.75,104.25,101.25,103.00
2024-05-06,103.25,104.75,101.75,103.50
2024-05-07,103.75,105.25,102.25,104.00
2024-05-08,104.25,105.75,102.75,104.50
2024-05-09,104.75,106.25,103.25,105.00
2024-05-10,105.25,106.75,103.75,105.50
